name,prompt,response,group_prompt,sub_scale,coding
outgoing,"I am someone who is outgoing, sociable",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_extraversion,positive
sympathy,I am someone who feels little sympathy for others,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_agreeableness,reverse
helpful,I am someone who is helpful and unselfish with others,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_agreeableness,positive
uncaring,I am someone who can be cold and uncaring,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_agreeableness,reverse
respectful,"I am someone who is respectful, treats others with respect",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_agreeableness,positive
arguments,I am someone who starts arguments with others,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_agreeableness,reverse
rude,I am someone who is sometimes rude to others,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_agreeableness,reverse
polite,"I am someone who is polite, courteous to others",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_agreeableness,positive
find_fault,I am someone who tends to find fault with others,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_agreeableness,reverse
forgive,I am someone who has a forgiving nature,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_agreeableness,positive
suspicion,I am someone who is suspicious of others’ intentions,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_agreeableness,reverse
assume_best,I am someone who assumes the best about people,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_agreeableness,positive
disorganized,I am someone who tends to be disorganized,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_conscientiousness,reverse
systematic,"I am someone who is systematic, likes to keep things in order",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_conscientiousness,positive
neat_tidy,I am someone who keeps things neat and tidy,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_conscientiousness,positive
mess,"I am someone who leaves a mess, doesn’t clean up",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_conscientiousness,reverse
lazy,I am someone who tends to be lazy,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_conscientiousness,reverse
difficulty_tasks,I am someone who has difficulty getting started on tasks,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_conscientiousness,reverse
efficient,"I am someone who is efficient, gets things done",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_conscientiousness,positive
persistent,"I am someone who is persistent, works until the task is finished",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_conscientiousness,positive
dependable,"I am someone who is dependable, steady",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_conscientiousness,positive
careless,I am someone who can be somewhat careless,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_conscientiousness,reverse
reliable,"I am someone who is reliable, can always be counted on",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_conscientiousness,positive
irresponsibly,I am someone who sometimes behaves irresponsibly,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_conscientiousness,reverse
relaxed,"I am someone who is relaxed, handles stress well",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_negative_emotionality,reverse
tense,I am someone who can be tense,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_negative_emotionality,positive
worries,I am someone who worries a lot,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_negative_emotionality,positive
anxious,I am someone who rarely feels anxious or afraid,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_negative_emotionality,reverse
optimistic,I am someone who stays optimistic after experiencing a setback,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_negative_emotionality,reverse
secure,"I am someone who feels secure, comfortable with self",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_negative_emotionality,reverse
sad,I am someone who often feels sad,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_negative_emotionality,positive
depressed,"I am someone who tends to feel depressed, blue",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_negative_emotionality,positive
moody,"I am someone who is moody, has up and down mood swings",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_negative_emotionality,positive
emotionally,"I am someone who is emotionally stable, not easily upset",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_negative_emotionality,reverse
emotions,I am someone who keeps their emotions under control,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_negative_emotionality,reverse
temperamental,"I am someone who is temperamental, gets emotional easily",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_negative_emotionality,positive
curious,I am someone who is curious about many different things,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_open_mindedness,positive
intellectual,"I am someone who avoids intellectual, philosophical discussion",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_open_mindedness,reverse
complex,"I am someone who is complex, a deep thinker",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_open_mindedness,positive
interest,I am someone who has little interest in abstract Ideas,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_open_mindedness,reverse
artistic,I am someone who has few artistic interests,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_open_mindedness,reverse
fascinated,"I am someone who is fascinated by art, music, or literature",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_open_mindedness,positive
value_art,I am someone who values art and beauty,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_open_mindedness,positive
poetry,I am someone who thinks poetry and plays are boring,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_open_mindedness,reverse
inventive,"I am someone who is inventive, finds clever ways to do things",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_open_mindedness,positive
creativity,I am someone who has little creativity,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_open_mindedness,reverse
imagining,I am someone who has difficulty imagining things,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_open_mindedness,reverse
original,"I am someone who is  original, comes up with new ideas",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_open_mindedness,positive
