name,answer,image,response,image_local,prompt,group_prompt,page
10,cautious,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face10.png,cautious | insisting | bored | aghast,/rme_images/RMET_Face10.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",10
11,regretful,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face11.png,terrified | amused | regretful | flirtatious,/rme_images/RMET_Face11.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",11
12,sceptical,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face12.png,indifferent | embarrassed | sceptical | dispirited,/rme_images/RMET_Face12.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",12
13,anticipating,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face13.png,decisive | anticipating | threatening | shy,/rme_images/RMET_Face13.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",13
14,accusing,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face14.png,irritated | disappointed | depressed | accusing,/rme_images/RMET_Face14.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",14
15,contemplative,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face15.png,flustered | contemplative | encouraging | amused,/rme_images/RMET_Face15.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",15
16,thoughtful,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face16.png,irritated | thoughtful | encouraging | sympathetic,/rme_images/RMET_Face16.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",16
17,doubtful,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face17.png,doubtful | affectionate | playful | aghast,/rme_images/RMET_Face17.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",17
18,decisive,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face18.png,decisive | amused | aghast | bored,/rme_images/RMET_Face18.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",18
19,tentative,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face19.png,arrogant | grateful | sarcastic | tentative,/rme_images/RMET_Face19.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",19
20,friendly,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face20.png,dominant | friendly | guilty | horrified,/rme_images/RMET_Face20.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",20
21,fantasizing,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face21.png,embarrassed | fantasizing | confused | panicked,/rme_images/RMET_Face21.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",21
22,preoccupied,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face22.png,preoccupied | grateful | insisting | imploring,/rme_images/RMET_Face22.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",22
23,defiant,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face23.png,contented | apologetic | defiant | curious,/rme_images/RMET_Face23.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",23
24,pensive,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face24.png,pensive | irritated | excited | hostile,/rme_images/RMET_Face24.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",24
25,interested,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face25.png,panicked | incredulous | despondent | interested,/rme_images/RMET_Face25.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",25
26,hostile,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face26.png,alarmed | shy | hostile | anxious,/rme_images/RMET_Face26.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",26
27,cautious,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face27.png,joking | cautious | arrogant | reassuring,/rme_images/RMET_Face27.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",27
28,interested,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face28.png,interested | joking | affectionate | contented,/rme_images/RMET_Face28.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",28
29,reflective,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face29.png,impatient | aghast | irritated | reflective,/rme_images/RMET_Face29.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",29
30,flirtatious,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face30.png,grateful | flirtatious | hostile | disappointed,/rme_images/RMET_Face30.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",30
31,confident,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face31.png,ashamed | confident | joking | dispirited,/rme_images/RMET_Face31.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",31
32,serious,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face32.png,serious | ashamed | bewildered | alarmed,/rme_images/RMET_Face32.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",32
33,concerned,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face33.png,embarrassed | guilty | fantasizing | concerned,/rme_images/RMET_Face33.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",33
34,distrustful,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face34.png,aghast | baffled | distrustful | terrified,/rme_images/RMET_Face34.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",34
35,nervous,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face35.png,puzzled | nervous | insisting | contemplative,/rme_images/RMET_Face35.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",35
36,suspicious,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face36.png,ashamed | nervous | suspicious | indecisive,/rme_images/RMET_Face36.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",36
